(1629623052.577000) can0  220#5E0EE50FC00B
(1629623052.774000) can0  200#5E912A8D84AD3C00
(1629623052.774000) can0  240#B8060000
(1629623052.840000) can0  220#5D0EE50FC00B
(1629623053.370000) can0  200#5F91298DD3AD3C00
(1629623053.370000) can0  240#B8060000
(1629623053.103000) can0  220#5C0EE50FB60B
(1629623053.300000) can0  200#5F912B8D2BAE3C00
(1629623053.300000) can0  240#B8060000
(1629623053.366000) can0  220#5B0EE50FB60B
(1629623053.562000) can0  200#60912C8D6DAE3C00
(1629623053.563000) can0  240#B8060000
(1629623053.628000) can0  220#5B0EE50FB60B
(1629623053.825000) can0  200#61912D8DB2AE3C00
(1629623053.825000) can0  240#B8060000
(1629623053.891000) can0  220#5A0EE50FB60B
(1629623054.880000) can0  200#62912F8D0EAF3C00
(1629623054.880000) can0  240#B8060000
(1629623054.154000) can0  220#590EE50FB60B
(1629623054.351000) can0  200#61912E8D52AF3C00
(1629623054.351000) can0  240#B8060000
(1629623054.417000) can0  220#580EE50FB60B
(1629623054.613000) can0  200#6291308D92AF3C00
(1629623054.614000) can0  240#B8060000
(1629623054.679000) can0  220#570EE50FB60B
(1629623054.876000) can0  200#6391308DD1AF3C00
(1629623054.876000) can0  240#B8060000
(1629623054.942000) can0  220#560EE50FB60B
(1629623055.139000) can0  200#6391318D16B03C00
(1629623055.139000) can0  240#B8060000
(1629623055.205000) can0  220#560ED00FB60B
(1629623055.402000) can0  200#6391328D5DB03C00
(1629623055.402000) can0  240#B8060000
(1629623055.468000) can0  220#550ED00FB60B
(1629623055.664000) can0  200#6491348DA6B03C00
(1629623055.665000) can0  240#B8060000
(1629623055.731000) can0  220#540ED00FB60B
(1629623055.928000) can0  240#B8060000
(1629623055.928000) can0  200#6591328DEBB03C00
(1629623055.993000) can0  220#530ED00FB60B
(1629623056.190000) can0  200#6591348D3DB13C00
(1629623056.190000) can0  240#B8060000
(1629623056.256000) can0  220#520ED00FAD0B
(1629623056.453000) can0  200#6491358D77B13C00
(1629623056.453000) can0  240#B8060000
(1629623056.519000) can0  220#510ED00FAD0B
(1629623056.716000) can0  200#6591368DBEB13C00
(1629623056.716000) can0  240#B8060000
(1629623056.781000) can0  220#500ED00FAD0B
(1629623056.978000) can0  200#6691388D0DB23C00
(1629623056.979000) can0  240#B8060000
(1629623057.550000) can0  220#500ED00FAD0B
(1629623057.252000) can0  200#66913A8D40B23C00
(1629623057.252000) can0  240#B8060000
(1629623057.318000) can0  220#4F0ED00FAD0B
(1629623057.515000) can0  200#6791398D8FB23C00
(1629623057.515000) can0  240#B8060000
(1629623057.592000) can0  220#4E0ED00FAD0B
(1629623057.789000) can0  200#67913A8DC8B23C00
(1629623057.789000) can0  240#B8060000
(1629623057.855000) can0  220#4D0ED00FAD0B
(1629623058.520000) can0  200#67913B8D0EB33C00
(1629623058.520000) can0  240#B8060000
(1629623058.129000) can0  220#4C0ED00FAD0B
(1629623058.325000) can0  200#68913A8D55B33C00
(1629623058.325000) can0  240#B8060000
